"Kod";"Nazwa";"oddziały;onkologiczne;2022;[-]";"oddziały;onkologiczne;2023;[-]";"oddziały;onkologiczne;2024;[-]";"łóżka na oddziałach;onkologiczne;2022;[-]";"łóżka na oddziałach;onkologiczne;2023;[-]";"łóżka na oddziałach;onkologiczne;2024;[-]";
0000000;"POLSKA";216;223;217;5328;5444;5346;
0200000;"DOLNOŚLĄSKIE";20;19;18;432;437;412;
0400000;"KUJAWSKO-POMORSKIE";7;7;8;199;208;229;
0600000;"LUBELSKIE";12;13;13;342;337;340;
0800000;"LUBUSKIE";5;5;5;99;93;93;
1000000;"ŁÓDZKIE";18;20;20;328;333;349;
1200000;"MAŁOPOLSKIE";19;19;17;359;373;372;
1400000;"MAZOWIECKIE";41;44;42;975;1038;987;
1600000;"OPOLSKIE";2;2;2;45;45;45;
1800000;"PODKARPACKIE";8;8;8;250;252;252;
2000000;"PODLASKIE";6;6;6;169;180;180;
2200000;"POMORSKIE";5;9;8;137;174;171;
2400000;"ŚLĄSKIE";29;28;27;821;809;783;
2600000;"ŚWIĘTOKRZYSKIE";4;4;4;140;140;119;
2800000;"WARMIŃSKO-MAZURSKIE";11;11;10;287;287;262;
3000000;"WIELKOPOLSKIE";20;19;20;501;495;527;
3200000;"ZACHODNIOPOMORSKIE";9;9;9;244;243;225;
