"Województwo","2022","2023","2024","2022_m","2023_m","2024_m","2022_k","2023_k","2024_k"
"DOLNOŚLĄSKIE",2888033,2879271,2868242,1388123,1383490,1377851,1499910,1495781,1490391
"KUJAWSKO-POMORSKIE",2006876,1996003,1984479,971048,965401,959437,1035828,1030602,1025042
"LUBELSKIE",2024637,2011047,1996440,980169,973411,966128,1044468,1037636,1030312
"LUBUSKIE",979976,975023,969819,475717,473169,470471,504259,501854,499348
"ŁÓDZKIE",2378483,2362519,2345924,1133290,1125675,1117687,1245193,1236844,1228237
"MAŁOPOLSKIE",3429014,3429632,3429084,1663091,1663129,1662575,1765923,1766503,1766509
"MAZOWIECKIE",5510612,5510527,5508322,2638241,2638474,2637677,2872371,2872053,2870645
"OPOLSKIE",942441,936725,930296,455521,452531,449412,486920,484194,480884
"PODKARPACKIE",2079098,2071676,2062997,1017624,1013946,1009431,1061474,1057730,1053566
"PODLASKIE",1143355,1138216,1132641,556184,553557,550801,587171,584659,581840
"POMORSKIE",2358307,2359573,2359493,1145637,1145754,1145337,1212670,1213819,1214156
"ŚLĄSKIE",4346702,4320130,4291441,2090906,2077359,2062849,2255796,2242771,2228592
"ŚWIĘTOKRZYSKIE",1178164,1168499,1157991,573286,568274,562929,604878,600225,595062
"WARMIŃSKO-MAZURSKIE",1366430,1357910,1349172,667043,662625,658055,699387,695285,691117
"WIELKOPOLSKIE",3493577,3487973,3479986,1697252,1694237,1690043,1796325,1793736,1789943
"ZACHODNIOPOMORSKIE",1640622,1631784,1622760,796189,791367,786344,844433,840417,836416
"RAZEM",37766327,37636508,37489087,18249321,18182399,18107027,19517006,19454109,19382060
