"Województwo","Rok","Całk_liczb_bad","Liczba_kobiet","Norm","Łag","Prawd_łag","Podejrz","Złośl","Nieokreśl"
"DOLNOŚLĄSKIE","22",88484,1499910,54663,21157,137,335,126,2773
"DOLNOŚLĄSKIE","23",88484,1495781,66596,24165,142,345,116,3546
"DOLNOŚLĄSKIE","24",88484,1490391,87486,31736,291,528,191,5631
"KUJAWSKO-POMORSKIE","22",50893,1035828,25093,23361,116,245,45,2033
"KUJAWSKO-POMORSKIE","23",64116,1030602,32123,28921,173,297,72,2530
"KUJAWSKO-POMORSKIE","24",75021,1025042,39641,31750,214,299,75,3042
"LUBELSKIE","22",55563,1044468,32975,19840,114,225,81,2328
"LUBELSKIE","23",65093,1037636,36995,24932,126,232,83,2725
"LUBELSKIE","24",77896,1030312,46151,27688,121,265,130,3541
"LUBUSKIE","22",35013,504259,26474,4393,25,88,39,758
"LUBUSKIE","23",35013,501854,31168,5725,54,100,52,975
"LUBUSKIE","24",35013,499348,37024,5822,139,165,124,1084
"ŁÓDZKIE","22",67976,1245193,47650,17220,727,293,83,2003
"ŁÓDZKIE","23",84414,1236844,62037,18459,798,345,141,2634
"ŁÓDZKIE","24",100455,1228237,76102,19064,1259,445,196,3389
"MAŁOPOLSKIE","22",71502,1765923,40605,26549,216,332,101,3699
"MAŁOPOLSKIE","23",76399,1766503,43318,28840,160,266,95,3720
"MAŁOPOLSKIE","24",101690,1766509,56543,38337,522,465,146,5677
"MAZOWIECKIE","22",126838,2872371,74223,47514,238,464,168,4231
"MAZOWIECKIE","23",153607,2872053,91970,55216,259,528,186,5448
"MAZOWIECKIE","24",191204,2870645,119192,63504,435,684,221,7168
"OPOLSKIE","22",21067,486920,15410,4890,6,101,28,632
"OPOLSKIE","23",26396,484194,18869,6552,10,105,37,823
"OPOLSKIE","24",30065,480884,22099,6517,11,140,51,1247
"PODKARPACKIE","22",37650,1061474,28054,7535,588,189,31,1253
"PODKARPACKIE","23",53334,1057730,40128,10143,979,256,42,1786
"PODKARPACKIE","24",66065,1053566,48906,12608,1441,338,68,2704
"PODLASKIE","22",28288,587171,20760,6308,80,81,26,1033
"PODLASKIE","23",34260,584659,24709,8159,87,93,36,1176
"PODLASKIE","24",46745,581840,32112,12539,114,125,59,1796
"POMORSKIE","22",64549,1212670,38430,23927,33,213,68,1878
"POMORSKIE","23",79242,1213819,46505,29949,51,231,71,2435
"POMORSKIE","24",96322,1214156,55036,37695,100,283,84,3124
"ŚLĄSKIE","22",103285,2255796,58437,40504,270,487,157,3430
"ŚLĄSKIE","23",137699,2242771,78481,53624,392,628,194,4380
"ŚLĄSKIE","24",166171,2228592,105791,53284,698,786,245,5367
"ŚWIĘTOKRZYSKIE","22",25549,604878,17832,6718,132,69,42,756
"ŚWIĘTOKRZYSKIE","23",32098,600225,22614,8366,106,89,51,872
"ŚWIĘTOKRZYSKIE","24",35642,595062,23776,10437,160,103,50,1116
"WARMIŃSKO-MAZURSKIE","22",35664,699387,20363,13972,19,95,43,1172
"WARMIŃSKO-MAZURSKIE","23",43050,695285,26603,14884,62,122,50,1329
"WARMIŃSKO-MAZURSKIE","24",50416,691117,30571,17824,71,124,48,1778
"WIELKOPOLSKIE","22",90202,1796325,57452,28377,118,379,102,3774
"WIELKOPOLSKIE","23",116230,1793736,71235,39967,161,480,149,4238
"WIELKOPOLSKIE","24",141913,1789943,83155,52313,230,623,235,5357
"ZACHODNIOPOMORSKIE","22",45198,844433,30107,13418,230,239,70,1134
"ZACHODNIOPOMORSKIE","23",52948,840417,34710,16258,277,277,81,1345
"ZACHODNIOPOMORSKIE","24",67727,836416,44595,20593,424,322,100,1693
"RAZEM","22",935192,19517006,588528,305683,3049,3835,1210,32887
"RAZEM","23",1151870,19454109,728061,374160,3837,4394,1456,39962
"RAZEM","24",1417553,19382060,908180,441711,6230,5695,2023,53714
