"Województwo","Całk_liczb_bad_22","Całk_liczb_bad_23","Całk_liczb_bad_24","Liczba_kobiet_22","Liczba_kobiet_23","Liczba_kobiet_24","Norm_22","Norm_23","Norm_24","Łag_22","Łag_23","Łag_24","Prawd_łag_22","Prawd_łag_23","Prawd_łag_24","Podejrz_22","Podejrz_23","Podejrz_24","Złośl_22","Złośl_23","Złośl_24","Nieokreśl_22","Nieokreśl_23","Nieokreśl_24"
"DOLNOŚLĄSKIE",88484,88484,88484,1499910,1495781,1490391,54663,66596,87486,21157,24165,31736,137,142,291,335,345,528,126,116,191,2773,3546,5631
"KUJAWSKO-POMORSKIE",50893,64116,75021,1035828,1030602,1025042,25093,32123,39641,23361,28921,31750,116,173,214,245,297,299,45,72,75,2033,2530,3042
"LUBELSKIE",55563,65093,77896,1044468,1037636,1030312,32975,36995,46151,19840,24932,27688,114,126,121,225,232,265,81,83,130,2328,2725,3541
"LUBUSKIE",35013,35013,35013,504259,501854,499348,26474,31168,37024,4393,5725,5822,25,54,139,88,100,165,39,52,124,758,975,1084
"ŁÓDZKIE",67976,84414,100455,1245193,1236844,1228237,47650,62037,76102,17220,18459,19064,727,798,1259,293,345,445,83,141,196,2003,2634,3389
"MAŁOPOLSKIE",71502,76399,101690,1765923,1766503,1766509,40605,43318,56543,26549,28840,38337,216,160,522,332,266,465,101,95,146,3699,3720,5677
"MAZOWIECKIE",126838,153607,191204,2872371,2872053,2870645,74223,91970,119192,47514,55216,63504,238,259,435,464,528,684,168,186,221,4231,5448,7168
"OPOLSKIE",21067,26396,30065,486920,484194,480884,15410,18869,22099,4890,6552,6517,6,10,11,101,105,140,28,37,51,632,823,1247
"PODKARPACKIE",37650,53334,66065,1061474,1057730,1053566,28054,40128,48906,7535,10143,12608,588,979,1441,189,256,338,31,42,68,1253,1786,2704
"PODLASKIE",28288,34260,46745,587171,584659,581840,20760,24709,32112,6308,8159,12539,80,87,114,81,93,125,26,36,59,1033,1176,1796
"POMORSKIE",64549,79242,96322,1212670,1213819,1214156,38430,46505,55036,23927,29949,37695,33,51,100,213,231,283,68,71,84,1878,2435,3124
"ŚLĄSKIE",103285,137699,166171,2255796,2242771,2228592,58437,78481,105791,40504,53624,53284,270,392,698,487,628,786,157,194,245,3430,4380,5367
"ŚWIĘTOKRZYSKIE",25549,32098,35642,604878,600225,595062,17832,22614,23776,6718,8366,10437,132,106,160,69,89,103,42,51,50,756,872,1116
"WARMIŃSKO-MAZURSKIE",35664,43050,50416,699387,695285,691117,20363,26603,30571,13972,14884,17824,19,62,71,95,122,124,43,50,48,1172,1329,1778
"WIELKOPOLSKIE",90202,116230,141913,1796325,1793736,1789943,57452,71235,83155,28377,39967,52313,118,161,230,379,480,623,102,149,235,3774,4238,5357
"ZACHODNIOPOMORSKIE",45198,52948,67727,844433,840417,836416,30107,34710,44595,13418,16258,20593,230,277,424,239,277,322,70,81,100,1134,1345,1693
"RAZEM",935192,1151870,1417553,19517006,19454109,19382060,588528,728061,908180,305683,374160,441711,3049,3837,6230,3835,4394,5695,1210,1456,2023,32887,39962,53714
