"Województwo","Rok","Całk_liczb_bad","Liczba_kobiet","Norm","Łag","Prawd_łag","Podejrz","Złośl","Nieokreśl","Badanie_zgodne","Dalsza_diag","Dalsza_diag_onkologiczna"
"DOLNOŚLĄSKIE","22",88484,1499910,54663,21157,137,335,126,2773,75820,3003,368
"DOLNOŚLĄSKIE","23",88484,1495781,66596,24165,142,345,116,3546,90761,3646,503
"DOLNOŚLĄSKIE","24",88484,1490391,87486,31736,291,528,191,5631,119222,6116,525
"KUJAWSKO-POMORSKIE","22",50893,1035828,25093,23361,116,245,45,2033,48453,2110,330
"KUJAWSKO-POMORSKIE","23",64116,1030602,32123,28921,173,297,72,2530,61044,2677,395
"KUJAWSKO-POMORSKIE","24",75021,1025042,39641,31750,214,299,75,3042,71391,3211,419
"LUBELSKIE","22",55563,1044468,32975,19840,114,225,81,2328,52815,2510,238
"LUBELSKIE","23",65093,1037636,36995,24932,126,232,83,2725,61927,2868,298
"LUBELSKIE","24",77896,1030312,46151,27688,121,265,130,3541,73839,3693,364
"LUBUSKIE","22",35013,504259,26474,4393,25,88,39,758,30867,855,55
"LUBUSKIE","23",35013,501854,31168,5725,54,100,52,975,36893,1115,66
"LUBUSKIE","24",35013,499348,37024,5822,139,165,124,1084,42846,1372,140
"ŁÓDZKIE","22",67976,1245193,47650,17220,727,293,83,2003,64870,2362,744
"ŁÓDZKIE","23",84414,1236844,62037,18459,798,345,141,2634,80496,2768,1150
"ŁÓDZKIE","24",100455,1228237,76102,19064,1259,445,196,3389,95166,3888,1401
"MAŁOPOLSKIE","22",71502,1765923,40605,26549,216,332,101,3699,67154,4087,261
"MAŁOPOLSKIE","23",76399,1766503,43318,28840,160,266,95,3720,72158,4001,240
"MAŁOPOLSKIE","24",101690,1766509,56543,38337,522,465,146,5677,94880,6375,435
"MAZOWIECKIE","22",126838,2872371,74223,47514,238,464,168,4231,121737,4535,566
"MAZOWIECKIE","23",153607,2872053,91970,55216,259,528,186,5448,147186,5714,707
"MAZOWIECKIE","24",191204,2870645,119192,63504,435,684,221,7168,182696,7675,833
"OPOLSKIE","22",21067,486920,15410,4890,6,101,28,632,20300,689,78
"OPOLSKIE","23",26396,484194,18869,6552,10,105,37,823,25421,879,96
"OPOLSKIE","24",30065,480884,22099,6517,11,140,51,1247,28616,1321,128
"PODKARPACKIE","22",37650,1061474,28054,7535,588,189,31,1253,35589,1948,113
"PODKARPACKIE","23",53334,1057730,40128,10143,979,256,42,1786,50271,2914,149
"PODKARPACKIE","24",66065,1053566,48906,12608,1441,338,68,2704,61514,4356,195
"PODLASKIE","22",28288,587171,20760,6308,80,81,26,1033,27068,1091,129
"PODLASKIE","23",34260,584659,24709,8159,87,93,36,1176,32868,1247,145
"PODLASKIE","24",46745,581840,32112,12539,114,125,59,1796,44651,1902,192
"POMORSKIE","22",64549,1212670,38430,23927,33,213,68,1878,62357,1996,196
"POMORSKIE","23",79242,1213819,46505,29949,51,231,71,2435,76454,2506,282
"POMORSKIE","24",96322,1214156,55036,37695,100,283,84,3124,92731,3231,360
"ŚLĄSKIE","22",103285,2255796,58437,40504,270,487,157,3430,98941,4098,246
"ŚLĄSKIE","23",137699,2242771,78481,53624,392,628,194,4380,132105,5314,280
"ŚLĄSKIE","24",166171,2228592,105791,53284,698,786,245,5367,159075,6711,385
"ŚWIĘTOKRZYSKIE","22",25549,604878,17832,6718,132,69,42,756,24550,833,166
"ŚWIĘTOKRZYSKIE","23",32098,600225,22614,8366,106,89,51,872,30980,934,184
"ŚWIĘTOKRZYSKIE","24",35642,595062,23776,10437,160,103,50,1116,34213,1214,215
"WARMIŃSKO-MAZURSKIE","22",35664,699387,20363,13972,19,95,43,1172,34335,1236,93
"WARMIŃSKO-MAZURSKIE","23",43050,695285,26603,14884,62,122,50,1329,41487,1453,110
"WARMIŃSKO-MAZURSKIE","24",50416,691117,30571,17824,71,124,48,1778,48395,1906,115
"WIELKOPOLSKIE","22",90202,1796325,57452,28377,118,379,102,3774,85829,4066,307
"WIELKOPOLSKIE","23",116230,1793736,71235,39967,161,480,149,4238,111202,4643,385
"WIELKOPOLSKIE","24",141913,1789943,83155,52313,230,623,235,5357,135468,5836,609
"ZACHODNIOPOMORSKIE","22",45198,844433,30107,13418,230,239,70,1134,43525,1581,92
"ZACHODNIOPOMORSKIE","23",52948,840417,34710,16258,277,277,81,1345,50968,1856,124
"ZACHODNIOPOMORSKIE","24",67727,836416,44595,20593,424,322,100,1693,65188,2418,121
"RAZEM","22",935192,19517006,588528,305683,3049,3835,1210,32887,894210,37000,3982
"RAZEM","23",1151870,19454109,728061,374160,3837,4394,1456,39962,1102221,44535,5114
"RAZEM","24",1417553,19382060,908180,441711,6230,5695,2023,53714,1349891,61225,6437
