"obszar","oddzialy_2022","oddzialy_2023","oddzialy_2024","lozka_2022","lozka_2023","lozka_2024"
"POLSKA",216,223,217,5328,5444,5346
"DOLNOŚLĄSKIE",20,19,18,432,437,412
"KUJAWSKO-POMORSKIE",7,7,8,199,208,229
"LUBELSKIE",12,13,13,342,337,340
"LUBUSKIE",5,5,5,99,93,93
"ŁÓDZKIE",18,20,20,328,333,349
"MAŁOPOLSKIE",19,19,17,359,373,372
"MAZOWIECKIE",41,44,42,975,1038,987
"OPOLSKIE",2,2,2,45,45,45
"PODKARPACKIE",8,8,8,250,252,252
"PODLASKIE",6,6,6,169,180,180
"POMORSKIE",5,9,8,137,174,171
"ŚLĄSKIE",29,28,27,821,809,783
"ŚWIĘTOKRZYSKIE",4,4,4,140,140,119
"WARMIŃSKO-MAZURSKIE",11,11,10,287,287,262
"WIELKOPOLSKIE",20,19,20,501,495,527
"ZACHODNIOPOMORSKIE",9,9,9,244,243,225
