"Region","Liczba zgonów","ASW","ASE","Wsp. surowy","Ryzyko skumulowane","Udział odsetkowy"
"Dolnośląskie","10","0.15","0.52","0.36","0.08","0.01"
"Kujawsko-Pomorskie","11","0.28","0.67","0.57","0.08","0.01"
"Lubelskie","10","0.22","0.70","0.51","0.11","0.01"
"Lubuskie","7","0.42","1.07","0.74","0.17","0.01"
"Łódzkie","11","0.21","0.66","0.49","0.10","0.01"
"Małopolskie","14","0.19","0.62","0.42","0.10","0.01"
"Mazowieckie","33","0.34","0.83","0.63","0.11","0.03"
"Opolskie","1","0.08","0.11","0.11","0.01","0.00"
"Podkarpackie","7","0.18","0.40","0.34","0.04","0.01"
"Podlaskie","7","0.26","0.85","0.63","0.14","0.01"
"Pomorskie","9","0.18","0.59","0.39","0.08","0.01"
"Śląskie","18","0.20","0.49","0.43","0.05","0.02"
"Świętokrzyskie","6","0.21","0.58","0.52","0.07","0.01"
"Warmińsko-Mazurskie","6","0.24","0.66","0.45","0.10","0.01"
"Wielkopolskie","18","0.29","0.74","0.53","0.10","0.02"
"Zachodniopomorskie","6","0.17","0.49","0.38","0.07","0.01"
